Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
794.5,-607.2
795.5,-607.2
796.5,-607.2
797.5,-607.2
798.5,-607.2
799.5,-607.2
800.5,-607.2
801.5,-607.2
802.5,-4907.93
803.5,109560
804.5,108277
805.5,107705
806.5,107931
807.5,108861
808.5,110141
809.5,111773
810.5,113781
811.5,114035
812.5,113989
813.5,113928
814.5,113844
815.5,113723
816.5,77418.6
817.5,-607.2
818.5,-607.2
819.5,-607.2
820.5,-607.2
821.5,-607.2
822.5,-607.2
823.5,-607.2
824.5,-607.2
825.5,-607.2
826.5,-4476
827.5,98698.2
828.5,111272
829.5,109983
830.5,109405
831.5,109307
832.5,110133
833.5,111688
834.5,113769
835.5,113996
836.5,113905
837.5,113762
838.5,28557.9
839.5,-607.2
840.5,-607.2
841.5,-607.2
842.5,-607.2
843.5,-607.2
844.5,-607.2
845.5,-607.2
846.5,-607.2
847.5,-607.2
848.5,-607.2
849.5,-607.2
850.5,-3968.75
851.5,32101.8
852.5,82943.1
853.5,111089
854.5,111653
855.5,111054
856.5,6388.83
857.5,-2293.57
858.5,-893.16
859.5,-607.2
860.5,-607.2
861.5,-607.2
862.5,-607.2
863.5,-607.2
864.5,-607.2
865.5,-607.2
866.5,-607.2
867.5,-607.2
868.5,-607.2
869.5,-607.2
870.5,-607.2
871.5,-607.2
872.5,-607.2
873.5,-607.2
874.5,-2036.49
875.5,-4083.23
876.5,104872
877.5,109387
878.5,110772
879.5,108417
880.5,110171
881.5,111840
882.5,112558
883.5,112775
884.5,112671
885.5,112505
886.5,8981.99
887.5,-607.2
888.5,-607.2
889.5,-607.2
890.5,-607.2
891.5,-607.2
892.5,-607.2
893.5,-607.2
894.5,-607.2
895.5,-607.2
896.5,-607.2
897.5,-607.2
898.5,-1876.77
899.5,-893.16
900.5,-3054.3
901.5,38090.5
902.5,111088
903.5,111929
904.5,111598
905.5,110707
906.5,60953.5
907.5,-607.2
908.5,-607.2
909.5,-607.2
910.5,-607.2
911.5,-607.2
912.5,-607.2
913.5,-607.2
914.5,-607.2
915.5,-607.2
916.5,-607.2
917.5,-607.2
918.5,-607.2
919.5,-607.2
920.5,-607.2
921.5,-607.2
922.5,-4333.42
923.5,90058.6
924.5,111131
925.5,111622
926.5,111741
927.5,109784
928.5,7034.11
929.5,-607.2
930.5,-607.2
931.5,-607.2
932.5,-607.2
933.5,-607.2
934.5,-607.2
935.5,-607.2
936.5,-607.2
937.5,-607.2
938.5,-607.2
939.5,-607.2
940.5,-607.2
941.5,-607.2
942.5,-607.2
943.5,-607.2
944.5,-607.2
945.5,-607.2
946.5,-2478.57
947.5,-2634.14
948.5,-3987.14
949.5,31334.2
950.5,110377
951.5,111787
952.5,80395
953.5,-2183.37
954.5,-893.16
955.5,-607.2
956.5,-607.2
957.5,-607.2
958.5,-607.2
959.5,-607.2
960.5,-607.2
961.5,-607.2
962.5,-607.2
963.5,-607.2
964.5,-607.2
965.5,-607.2
966.5,-607.2
